car_name,brand,model,vehicle_age,km_driven,mileage,max_power,seats,selling_price
Maruti Alto,Maruti,Alto,9,120000,19.7,46.3,5,120000
Maruti Alto,Maruti,Alto,9,37000,20.92,67.1,5,226000
Maruti Wagon R,Maruti,Wagon R,8,35000,18.9,67.1,5,350000
Maruti Wagon R,Maruti,Wagon R,3,17512,20.51,67.04,5,410000
Hyundai Venue,Hyundai,Venue,2,20000,18.15,118.35,5,1050000
Maruti Alto,Maruti,Alto,8,25000,20.92,67.1,5,230000
Renault KWID,Renault,KWID,4,30000,23.01,67,5,340000
Maruti Wagon R,Maruti,Wagon R,2,10000,20.51,67.04,5,445000
Maruti Wagon R,Maruti,Wagon R,3,53237,26.6,58.16,5,410000
Datsun RediGO,Datsun,RediGO,3,27263,22.5,68,5,350000
Renault KWID,Renault,KWID,5,25000,25.17,53.3,5,240000
Maruti Wagon R,Maruti,Wagon R,7,37000,20.51,67.04,5,350000
Maruti Alto,Maruti,Alto,8,55000,22.74,47.3,5,230000
Maruti Celerio,Maruti,Celerio,3,5000,23.1,67.04,5,475000
Renault KWID,Renault,KWID,3,22000,23.01,67,5,330000
Maruti Wagon R,Maruti,Wagon R,5,66000,20.51,67.04,5,325000
Hyundai Venue,Hyundai,Venue,2,25000,18.27,118.35,5,949000
Maruti Wagon R,Maruti,Wagon R,12,98780,18.9,67.1,5,155000
Maruti Alto,Maruti,Alto,10,30000,20.92,67.1,5,251000
Maruti Wagon R,Maruti,Wagon R,2,50000,21.79,67.05,5,411000
Maruti Wagon R,Maruti,Wagon R,9,57413,14.4,61.7,5,270000
Maruti Alto,Maruti,Alto,3,20000,23.95,67.05,5,360000
Maruti Celerio,Maruti,Celerio,1,8700,21.63,67.04,5,505000
Maruti Alto,Maruti,Alto,2,25000,24.7,47.3,5,310000
Maruti Wagon R,Maruti,Wagon R,10,58000,18.9,67.1,5,250000
Maruti Wagon R,Maruti,Wagon R,3,52000,33.54,67.04,5,435000
Maruti Celerio,Maruti,Celerio,7,35000,23.1,67.04,5,320000
Maruti Alto,Maruti,Alto,5,10370,22.74,47.3,5,320000
Maruti Wagon R,Maruti,Wagon R,8,64000,33.54,67.04,5,270000
Renault KWID,Renault,KWID,4,17000,23.01,67,5,360000
Maruti Alto,Maruti,Alto,4,25000,24.7,47.3,5,275000
Maruti Wagon R,Maruti,Wagon R,6,92537,20.51,67.04,5,272000
Maruti Alto,Maruti,Alto,8,46242,20.92,67.1,5,280000
Renault KWID,Renault,KWID,1,6000,22.3,53.26,5,450000
Maruti Alto,Maruti,Alto,8,26200,22.74,47.3,5,235000
Renault KWID,Renault,KWID,3,30038,25.17,53.3,5,295000
Renault KWID,Renault,KWID,4,35000,24.04,67,5,350000
Maruti Alto,Maruti,Alto,3,12000,24.7,47.3,5,300000
